编号,房间号,房间名称,所在楼层,房间高度,是否有窗户,窗户朝向,床型/房型,价格,URL
1,展览厅,展览厅,1楼,2438,,,展览厅,,
2,105,雨林景观豪华蘑菇屋,1楼,2438,否,无,单人间,256元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
3,104,雨林景观豪华蘑菇屋,1楼,2438,否,无,单人间,255元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
4,103,雨林景观豪华蘑菇屋,1楼,2438,否,无,单人间,333元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
5,102,雨林景观豪华蘑菇屋,1楼,2438,是,东,大床房,888元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
6,106,雨林景观豪华蘑菇屋,1楼,2438,是,南,单人间,666元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
7,107,雨林景观豪华蘑菇屋,1楼,2438,是,南,单人间,456元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
8,108,雨林景观豪华蘑菇屋,1楼,2438,是,南,单人间,156元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
9,101,雨林景观豪华蘑菇屋,1楼,2438,是,东,单人间,18元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
10,211,雨林景观豪华蘑菇屋,2楼,2438,是,西,亲子房,419元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
11,212,雨林景观豪华蘑菇屋,2楼,2438,是,西,亲子房,418元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
12,210,雨林景观豪华蘑菇屋,2楼,2438,是,北,单人间,189元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
13,209,雨林景观豪华蘑菇屋,2楼,2438,是,北,单人间,418元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
14,208,雨林景观豪华蘑菇屋,2楼,2438,是,北,单人间,18元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
15,207,雨林景观豪华蘑菇屋,2楼,2438,是,东,大床房,186元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
16,206,雨林景观豪华蘑菇屋,2楼,2438,是,西,双人间,654元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
17,205,雨林景观豪华蘑菇屋,2楼,2438,是,东,双人间,789元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
18,204,雨林景观豪华蘑菇屋,2楼,2438,是,南,单人间,999元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
19,203,雨林景观豪华蘑菇屋,2楼,2438,是,南,单人间,889元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
20,202,雨林景观豪华蘑菇屋,2楼,2438,是,南,单人间,48元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
21,201,雨林景观豪华蘑菇屋,2楼,2438,是,南,大床房,19元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
22,301,雨林景观豪华蘑菇屋,3楼,2438,否,无,亲子房,486元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
23,302,雨林景观豪华蘑菇屋,3楼,2438,否,无,亲子房,1088元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
24,303,雨林景观豪华蘑菇屋,3楼,2438,是,南,双人间,388元/晚,https://share-xt.hwbim.com/qlh/ffd333620ebb4e83b50899653b516f00
